experiment,variant,phase,runner,runner_code,parent_variant,created_at,started_at,completed_at,queue_seconds,execution_seconds,total_seconds,status
1,v3_1101,f03_windows,Local,1,,2026-06-15T09:00:00,2026-06-15T09:00:00,2026-06-15T09:00:50,0,50,50,success
1,v5_1101,f05_modeling,Local,1,,2026-06-15T09:00:00,2026-06-15T09:00:00,2026-06-15T09:11:47,0,707,707,success
1,v3_1201,f03_windows,GithubActions,2,,2026-06-15T09:00:00,2026-06-15T09:00:02,2026-06-15T09:01:11,2,69,71,success
1,v5_1201,f05_modeling,GithubActions,2,,2026-06-15T09:00:00,2026-06-15T09:00:02,2026-06-15T09:08:57,2,535,537,success
1,v3_1301,f03_windows,K8s-8gb,3,,2026-06-15T09:00:00,2026-06-15T09:00:03,2026-06-15T09:00:55,3,52,55,success
1,v5_1301,f05_modeling,K8s-8gb,3,,2026-06-15T09:00:00,2026-06-15T09:00:03,2026-06-15T09:06:49,3,406,409,success
1,v3_1401,f03_windows,K8s-24gb,4,,2026-06-15T09:00:00,2026-06-15T09:00:07,2026-06-15T09:00:50,7,43,50,success
1,v5_1401,f05_modeling,K8s-24gb,4,,2026-06-15T09:00:00,2026-06-15T09:00:07,2026-06-15T09:05:52,7,345,352,success
2,v3_2301,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:00:09,2026-06-15T10:01:30,9,81,90,success
2,v3_2302,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:00:03,2026-06-15T10:01:25,3,82,85,success
2,v3_2303,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:00:06,2026-06-15T10:01:33,6,87,93,success
2,v3_2304,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:00:03,2026-06-15T10:01:40,3,97,100,success
2,v3_2305,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:00:06,2026-06-15T10:01:48,6,102,108,success
2,v3_2306,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:01:55,2026-06-15T10:03:37,115,102,217,success
2,v3_2307,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:01:52,2026-06-15T10:03:25,112,93,205,success
2,v3_2308,f03_windows,K8s-8gb,3,,2026-06-15T10:00:00,2026-06-15T10:01:42,2026-06-15T10:03:16,102,94,196,success
3,v7_3501,f07_modval,ESP32-self-hosted,5,,2026-06-15T11:00:00,2026-06-15T11:00:00,2026-06-15T11:03:00,0,180,180,success
3,v7_3301,f07_modval,K8s-8gb,3,,2026-06-15T11:00:00,2026-06-15T11:00:05,2026-06-15T11:01:40,5,95,100,success
3,v8_3501,f08_sysval,ESP32-self-hosted,5,v7_3501,2026-06-15T11:04:00,2026-06-15T11:04:00,2026-06-15T11:06:30,0,150,150,success
3,v8_3301,f08_sysval,K8s-8gb,3,v7_3301,2026-06-15T11:02:00,2026-06-15T11:02:04,2026-06-15T11:03:29,4,85,89,success
4,v1_4101,f01_explore,Local,1,,2026-06-15T12:00:00,2026-06-15T12:00:00,2026-06-15T12:01:00,0,60,60,success
4,v2_4101,f02_events,Local,1,v1_4101,2026-06-15T12:01:00,2026-06-15T12:01:00,2026-06-15T12:01:50,0,50,50,success
4,v2_4102,f02_events,Local,1,v1_4101,2026-06-15T12:01:50,2026-06-15T12:01:50,2026-06-15T12:02:45,0,55,55,success
4,v3_4101,f03_windows,Local,1,v2_4101,2026-06-15T12:02:45,2026-06-15T12:02:45,2026-06-15T12:03:30,0,45,45,success
4,v3_4102,f03_windows,Local,1,v2_4101,2026-06-15T12:03:30,2026-06-15T12:03:30,2026-06-15T12:04:18,0,48,48,success
4,v3_4103,f03_windows,Local,1,v2_4102,2026-06-15T12:04:18,2026-06-15T12:04:18,2026-06-15T12:05:00,0,42,42,success
4,v3_4104,f03_windows,Local,1,v2_4102,2026-06-15T12:05:00,2026-06-15T12:05:00,2026-06-15T12:05:50,0,50,50,success
4,v4_4101,f04_targets,Local,1,v3_4101,2026-06-15T12:05:50,2026-06-15T12:05:50,2026-06-15T12:06:26,0,36,36,success
4,v4_4102,f04_targets,Local,1,v3_4102,2026-06-15T12:06:26,2026-06-15T12:06:26,2026-06-15T12:06:58,0,32,32,success
4,v4_4103,f04_targets,Local,1,v3_4102,2026-06-15T12:06:58,2026-06-15T12:06:58,2026-06-15T12:07:32,0,34,34,success
4,v4_4104,f04_targets,Local,1,v3_4103,2026-06-15T12:07:32,2026-06-15T12:07:32,2026-06-15T12:08:10,0,38,38,success
4,v4_4105,f04_targets,Local,1,v3_4104,2026-06-15T12:08:10,2026-06-15T12:08:10,2026-06-15T12:08:47,0,37,37,success
4,v4_4106,f04_targets,Local,1,v3_4104,2026-06-15T12:08:47,2026-06-15T12:08:47,2026-06-15T12:09:23,0,36,36,success
4,v1_4301,f01_explore,K8s-8gb,3,,2026-06-15T12:00:00,2026-06-15T12:00:05,2026-06-15T12:01:10,5,65,70,success
4,v2_4301,f02_events,K8s-8gb,3,v1_4301,2026-06-15T12:01:10,2026-06-15T12:01:14,2026-06-15T12:02:06,4,52,56,success
4,v2_4302,f02_events,K8s-8gb,3,v1_4301,2026-06-15T12:01:10,2026-06-15T12:01:16,2026-06-15T12:02:14,6,58,64,success
4,v3_4301,f03_windows,K8s-8gb,3,v2_4301,2026-06-15T12:02:06,2026-06-15T12:02:09,2026-06-15T12:02:56,3,47,50,success
4,v3_4302,f03_windows,K8s-8gb,3,v2_4301,2026-06-15T12:02:06,2026-06-15T12:02:11,2026-06-15T12:03:01,5,50,55,success
4,v3_4303,f03_windows,K8s-8gb,3,v2_4302,2026-06-15T12:02:14,2026-06-15T12:02:18,2026-06-15T12:03:02,4,44,48,success
4,v3_4304,f03_windows,K8s-8gb,3,v2_4302,2026-06-15T12:02:14,2026-06-15T12:02:17,2026-06-15T12:03:09,3,52,55,success
4,v4_4301,f04_targets,K8s-8gb,3,v3_4301,2026-06-15T12:02:56,2026-06-15T12:03:00,2026-06-15T12:03:37,4,37,41,success
4,v4_4302,f04_targets,K8s-8gb,3,v3_4302,2026-06-15T12:03:01,2026-06-15T12:03:06,2026-06-15T12:03:41,5,35,40,success
4,v4_4303,f04_targets,K8s-8gb,3,v3_4302,2026-06-15T12:03:01,2026-06-15T12:03:04,2026-06-15T12:03:44,3,40,43,success
4,v4_4304,f04_targets,K8s-8gb,3,v3_4303,2026-06-15T12:03:02,2026-06-15T12:03:05,2026-06-15T12:03:44,3,39,42,success
4,v4_4305,f04_targets,K8s-8gb,3,v3_4304,2026-06-15T12:03:09,2026-06-15T12:03:14,2026-06-15T12:03:52,5,38,43,success
4,v4_4306,f04_targets,K8s-8gb,3,v3_4304,2026-06-15T12:03:09,2026-06-15T12:03:12,2026-06-15T12:03:53,3,41,44,success
