experiment,variant,phase,runner,runner_code,parent_variant,created_at,started_at,completed_at,queue_seconds,execution_seconds,total_seconds,status
0,v1_0004,f01_explore,K8s-8gb,3,,2026-06-16T01:07:06.025025+00:00,2026-06-16T01:07:16.309134+00:00,2026-06-16T01:07:46.502963+00:00,10,30,40,failed
0,v1_0003,f01_explore,K8s-24gb,4,,2026-06-16T01:06:16.904195+00:00,2026-06-16T01:06:21.318536+00:00,2026-06-16T01:12:09.460155+00:00,4,348,352,success
0,v1_0002,f01_explore,GithubActions,2,,2026-06-16T01:06:12.301453+00:00,2026-06-16T01:06:22.303898+00:00,2026-06-16T01:17:14.510938+00:00,10,652,662,success
0,v1_0001,f01_explore,GithubActions,2,,2026-06-16T01:34:03.880861+00:00,2026-06-16T01:34:14.344967+00:00,2026-06-16T01:37:19.472526+00:00,10,185,195,success
2,v3_2301,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.409944+00:00,2026-06-16T07:19:17.836606+00:00,2026-06-16T07:27:05.206029+00:00,10,467,477,success
2,v3_2302,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.410368+00:00,2026-06-16T07:19:17.615851+00:00,2026-06-16T07:27:05.249247+00:00,10,467,477,success
2,v3_2303,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.411222+00:00,2026-06-16T07:19:17.652237+00:00,2026-06-16T07:27:05.288868+00:00,10,467,477,success
2,v3_2305,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.411571+00:00,2026-06-16T07:19:17.741053+00:00,2026-06-16T07:27:15.877801+00:00,10,478,488,success
2,v3_2306,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.525639+00:00,2026-06-16T07:19:17.866915+00:00,2026-06-16T07:27:16.037610+00:00,10,478,488,success
2,v3_2308,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.593070+00:00,2026-06-16T07:27:20.797235+00:00,2026-06-16T07:36:38.118875+00:00,493,557,1050,success
2,v3_2307,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T07:19:07.559888+00:00,2026-06-16T07:27:20.828402+00:00,2026-06-16T07:36:38.188362+00:00,493,557,1050,success
2,v3_2304,f03_windows,GithubActions,2,v2_0002,2026-06-16T08:57:58.373746+00:00,2026-06-16T08:58:08.276748+00:00,2026-06-16T09:09:55.846786+00:00,9,707,717,success
1,v3_1201,f03_windows,GithubActions,2,v2_0002,2026-06-16T10:56:38.611475+00:00,2026-06-16T10:56:43.397299+00:00,2026-06-16T11:02:31.151875+00:00,4,347,352,success
1,v3_1401,f03_windows,K8s-24gb,4,v2_0002,2026-06-16T10:56:38.617277+00:00,2026-06-16T10:56:46.497335+00:00,2026-06-16T11:02:31.240927+00:00,7,344,352,success
1,v3_1301,f03_windows,K8s-8gb,3,v2_0002,2026-06-16T10:56:38.616295+00:00,2026-06-16T10:56:45.015009+00:00,2026-06-16T11:02:42.141566+00:00,6,357,363,success
1,v5_1101,f05_modeling,Local,1,v4_0001,2026-06-16T15:06:26.545384+00:00,2026-06-16T15:06:26.631515+00:00,2026-06-16T15:27:12.015957+00:00,0,1245,1245,success
1,v3_1101,f03_windows,Local,1,v2_0002,2026-06-16T15:30:38.558134+00:00,2026-06-16T15:30:38.642344+00:00,2026-06-16T15:32:34.999880+00:00,0,116,116,success
1,v5_1201,f05_modeling,GithubActions,2,v4_0001,2026-06-16T15:36:50.168332+00:00,2026-06-16T15:37:10.414950+00:00,2026-06-16T15:49:22.911210+00:00,20,732,752,success
1,v5_1205,f05_modeling,GithubActions,2,v4_0001,2026-06-16T15:58:05.062536+00:00,2026-06-16T15:58:14.852512+00:00,2026-06-16T16:07:29.156340+00:00,9,554,564,success
